granularity,dataset_setting,table_group,period,display_name,method,selection_variant,inspired_by,uses_cluster,total,updated,review_ratio,f1,tpr,fpr,fpr_at_tpr90,auc_roc,auc_pr,mal_rate_selected,time_sec,source_file
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2017,FullUpdate,FullUpdate,FullUpdate,,,5584,5584,1.0,0.8431463187086362,0.5565068493150684,0.0008,0.1476,0.9494363013698632,0.8189521291013282,,2.9411,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2018,FullUpdate,FullUpdate,FullUpdate,,,3314,3314,1.0,0.7798931901973541,0.4522292993630573,0.008,0.0218923076923076,0.969877388535032,0.8438837365829274,,1.9257,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2019,FullUpdate,FullUpdate,FullUpdate,,,3311,3311,1.0,0.3217945367932303,0.9710610932475884,0.7273333333333334,0.706,0.3391650589496249,0.1163100560881289,,2.068,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2020,FullUpdate,FullUpdate,FullUpdate,,,3330,3330,1.0,0.9448383820501114,0.8757575757575757,0.0076666666666666,0.0616666666666666,0.9725176767676768,0.9151030444885936,,2.2074,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2021,FullUpdate,FullUpdate,FullUpdate,,,3333,3333,1.0,0.8219787633783064,0.5255255255255256,0.0043333333333333,0.0679318584070796,0.9305720720720722,0.7561981445183045,,2.3178,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2022,FullUpdate,FullUpdate,FullUpdate,,,3331,3331,1.0,0.9604409736301434,0.9697885196374624,0.013,0.0055682242990654,0.9867165156092648,0.9551961250061756,,2.184,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2023,FullUpdate,FullUpdate,FullUpdate,,,3362,3362,1.0,0.941384315536857,0.8314917127071824,0.0033333333333333,0.07,0.971762891344383,0.9129712416039526,,2.0007,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2017,Ablation-Baseline,Ablation-Baseline,Ablation-Baseline,,,5584,1675,0.2999641833810888,0.8431463187086362,0.5565068493150684,0.0008,0.1476,0.9494363013698632,0.8189521291013282,0.0973134328358208,2.9752,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2018,Ablation-Baseline,Ablation-Baseline,Ablation-Baseline,,,3314,994,0.299939649969825,0.8394483071300751,0.6050955414012739,0.0116666666666666,0.0226666666666666,0.9789957537154989,0.8546426528490629,0.1036217303822937,1.9298,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2019,Ablation-Baseline,Ablation-Baseline,Ablation-Baseline,,,3311,993,0.29990939293264873,0.1608837825507685,0.9742765273311896,0.923,0.9156666666666666,0.2637770632368703,0.2483122614127959,0.0876132930513595,2.1245,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2020,Ablation-Baseline,Ablation-Baseline,Ablation-Baseline,,,3330,999,0.3,0.9183222156705576,0.8818181818181818,0.0203333333333333,0.0420625,0.9579848484848486,0.8724562736143806,0.082082082082082,2.2064,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2021,Ablation-Baseline,Ablation-Baseline,Ablation-Baseline,,,3333,999,0.29972997299729975,0.8278850330224499,0.5255255255255256,0.0016666666666666,0.8287543478260869,0.7290880880880881,0.3987150949942649,0.1001001001001001,2.3381,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2022,Ablation-Baseline,Ablation-Baseline,Ablation-Baseline,,,3331,999,0.2999099369558691,0.926356724310484,0.972809667673716,0.0293333333333333,0.0181947204968944,0.9838796576032226,0.9090530824192844,0.0980980980980981,2.198,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2023,Ablation-Baseline,Ablation-Baseline,Ablation-Baseline,,,3362,1008,0.2998215348007139,0.9391485473216242,0.8314917127071824,0.0043333333333333,0.0686666666666666,0.9476137200736648,0.6159933827487555,0.1081349206349206,2.0096,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2017,Ablation-+Cluster,Ablation-+Cluster,Ablation-+Cluster,,,5584,1660,0.29727793696275073,0.8431463187086362,0.5565068493150684,0.0008,0.1476,0.9494363013698632,0.8189521291013282,0.1560240963855421,3.7904,results/performance/yearly/yearly_imbalanced_ablation_results.csv
yearly,androzoo_year_imbalanced_9to1,yearly_ablation_baselines,2018,Ablation-+Cluster,Ablation-+Cluster,Ablation-+Cluster,,,3314,986,0.2975256487628244,0.9032537154989384,0.8248407643312102,0.0183333333333333,0.0218153846153846,0.9825265392781316,0.8821442567997002,0.1095334685598377,2.6563,results/performance/yearly/yearly_imbalanced_ablation_results.csv
