cluster_id,n_total,n_malware,n_goodware,dominant_label,purity,n_train_samples,mal_ratio_train,top_features,cluster_age
16,241,2,239,goodware,0.9917,3733,0.0222,activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.149); app_permissions::name='com_sidelineaccess_ar_rhs_72758_a_permission_C2D_MESSAGE'(-0.146); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.144); activities::_VideosItem(+0.143); activities::_RollNoteActivity(+0.142),36
17,25,0,25,goodware,1.0,2958,0.1244,activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.178); activities::ncarb_mobile_droid_activities_ExperienceReportActivity(+0.168); activities::Long Press Image > Save & Wallpaper(-0.168); app_permissions::name='com_sidelineaccess_ar_rhs_72758_a_permission_C2D_MESSAGE'(-0.166); activities::com_vonage_TimeToCall_Activities_WhatsNewActivity(-0.165),22
18,954,8,946,goodware,0.9916,5763,0.9523,activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.330); app_permissions::name='android_permission_READ_PHONE_STATE'(+0.272); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.246); activities::com_manle_phone_android_mall_activity_DrugShowActivity(+0.202); activities::_activity_MessageCenterActivity(+0.197),34
19,163,4,159,goodware,0.9755,9567,0.1972,activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.194); activities::com_vonage_TimeToCall_Activities_WhatsNewActivity(-0.190); interesting_calls::getSystemService(-0.186); api_permissions::android_permission_INTERNET(-0.185); app_permissions::name='com_sidelineaccess_ar_rhs_72758_a_permission_C2D_MESSAGE'(-0.184),35
20,3369,353,3016,goodware,0.8952,700,0.0171,activities::com_prometil_coovia_route_RouteListActivity(+0.165); intents::android_intent_category_LAUNCHER(-0.135); activities::_RollNoteActivity(+0.134); interesting_calls::getSystemService(-0.133); activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.133),33
21,667,50,617,goodware,0.925,3169,0.0003,activities::au_com_fujifilm_transpix_LanguageActivity(+0.119); activities::com_manle_phone_android_mall_activity_DrugShowActivity(+0.116); api_calls::android/accounts/AccountManager;->invalidateAuthToken(-0.114); api_permissions::android_permission_WAKE_LOCK(+0.112); app_permissions::name='com_sidelineaccess_ar_rhs_72758_a_permission_C2D_MESSAGE'(-0.111),34
22,3,0,3,goodware,1.0,13279,0.0284,api_permissions::android_permission_WAKE_LOCK(+0.169); activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.163); api_permissions::android_permission_VIBRATE(+0.163); activities::_RollNoteActivity(+0.157); activities::com_usps_ratecalc_RateCalcResultTableView1(-0.157),34
23,643,5,638,goodware,0.9922,811,0.5931,app_permissions::name='com_sidelineaccess_ar_rhs_72758_a_permission_C2D_MESSAGE'(-0.168); activities::au_com_fujifilm_transpix_LanguageActivity(+0.166); api_calls::android/accounts/AccountManager;->invalidateAuthToken(-0.162); activities::com_usps_ratecalc_RateCalcResultTableView1(-0.158); api_permissions::android_permission_ACCESS_FINE_LOCATION(-0.156),33
24,3787,307,3480,goodware,0.9189,2320,0.2323,activities::_activity_MessageCenterActivity(+0.145); activities::_FullScreen(+0.137); activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.136); activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.136); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.132),33
25,15,2,13,goodware,0.8667,3348,0.0078,activities::_RollNoteActivity(+0.241); intents::android_intent_category_LAUNCHER(-0.240); interesting_calls::getSystemService(-0.239); activities::com_usps_ratecalc_RateCalcResultTableView1(-0.238); api_permissions::android_permission_INTERNET(-0.237),34
27,870,22,848,goodware,0.9747,3055,0.0236,activities::_RollNoteActivity(+0.262); api_permissions::android_permission_WAKE_LOCK(+0.262); intents::android_intent_category_LAUNCHER(-0.261); interesting_calls::getSystemService(-0.250); api_permissions::android_permission_INTERNET(-0.244),32
28,1479,59,1420,goodware,0.9601,291,0.0378,api_permissions::android_permission_VIBRATE(+0.148); api_permissions::android_permission_WAKE_LOCK(+0.097); app_permissions::name='com_sidelineaccess_ar_rhs_72758_a_permission_C2D_MESSAGE'(-0.096); activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.093); activities::com_vonage_TimeToCall_Activities_WhatsNewActivity(-0.092),29
29,513,14,499,goodware,0.9727,1243,0.0056,app_permissions::name='com_sidelineaccess_ar_rhs_72758_a_permission_C2D_MESSAGE'(-0.163); urls::http://xmlpull_org/v1/doc/features_html(+0.152); activities::com_usps_ratecalc_RateCalcResultTableView1(-0.149); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.146); activities::com_vonage_TimeToCall_Activities_WhatsNewActivity(-0.145),33
30,5689,99,5590,goodware,0.9826,707,0.0085,activities::com_usps_ratecalc_RateCalcResultTableView1(-0.181); activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.163); activities::_VideosItem(+0.162); app_permissions::name='com_sidelineaccess_ar_rhs_72758_a_permission_C2D_MESSAGE'(-0.159); api_calls::android/app/NotificationManager;->notify(-0.156),32
31,1964,100,1864,goodware,0.9491,444,0.027,activities::com_usps_ratecalc_RateCalcResultTableView1(-0.127); api_permissions::android_permission_WAKE_LOCK(+0.123); activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.123); api_permissions::android_permission_ACCESS_FINE_LOCATION(-0.119); api_permissions::android_permission_VIBRATE(+0.119),30
32,13105,733,12372,goodware,0.9441,451,0.0155,activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.163); app_permissions::name='com_sidelineaccess_ar_rhs_72758_a_permission_C2D_MESSAGE'(-0.163); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.161); activities::Long Press Image > Save & Wallpaper(-0.159); activities::_RollNoteActivity(+0.154),28
33,25607,242,25365,goodware,0.9905,1572,0.007,activities::com_ijinshan_kbatterydoctor_msgcenter_MessageExternalActivity(+0.186); api_permissions::android_permission_CAMERA(+0.186); api_permissions::android_permission_VIBRATE(+0.178); activities::com_neusoft_td_android_wo116114_ui_news_LifeNewsDetailView(-0.175); activities::_RollNoteActivity(+0.165),31
34,5167,244,4923,goodware,0.9528,156,0.3013,activities::VsRankingAct(-0.085); activities::_activity_MessageCenterActivity(+0.083); activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.082); activities::Long Press Image > Save & Wallpaper(-0.078); activities::_FullScreen(+0.078),27
35,733,219,514,goodware,0.7012,779,0.0013,activities::_RollNoteActivity(+0.249); intents::android_intent_category_LAUNCHER(-0.247); api_permissions::android_permission_INTERNET(-0.245); interesting_calls::getSystemService(-0.243); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.225),30
36,1164,49,1115,goodware,0.9579,1088,0.0165,api_permissions::android_permission_WAKE_LOCK(+0.156); activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.143); app_permissions::name='com_sidelineaccess_ar_rhs_72758_a_permission_C2D_MESSAGE'(-0.138); api_permissions::android_permission_VIBRATE(+0.138); activities::Long Press Image > Save & Wallpaper(-0.131),30
38,856,107,749,goodware,0.875,92,0.0109,activities::_RollNoteActivity(+0.126); intents::android_intent_category_LAUNCHER(-0.126); api_permissions::android_permission_INTERNET(-0.126); interesting_calls::getSystemService(-0.125); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.122),23
39,4,0,4,goodware,1.0,503,0.0239,activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.292); activities::_RollNoteActivity(+0.282); intents::android_intent_category_LAUNCHER(-0.281); activities::com_prometil_coovia_route_RouteListActivity(+0.268); interesting_calls::getSystemService(-0.261),28
40,184,1,183,goodware,0.9946,6939,0.0141,api_permissions::android_permission_WAKE_LOCK(+0.196); api_permissions::android_permission_VIBRATE(+0.190); activities::_RollNoteActivity(+0.181); activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.181); intents::android_intent_category_LAUNCHER(-0.181),27
41,5208,211,4997,goodware,0.9595,292,0.6849,api_permissions::android_permission_WAKE_LOCK(+0.139); api_permissions::android_permission_VIBRATE(+0.121); activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.121); api_permissions::android_permission_ACCESS_FINE_LOCATION(-0.114); activities::com_jiubang_goscreenlock_theme_blueflowers_NRate(+0.114),25
42,530,27,503,goodware,0.9491,1516,0.002,activities::appinventor_ai_avalozdot91_InformaT_Servicios(-0.338); activities::_RollNoteActivity(+0.285); intents::android_intent_category_LAUNCHER(-0.284); api_permissions::android_permission_INTERNET(-0.264); activities::com_prometil_coovia_route_RouteListActivity(+0.263),28
43,240,50,190,goodware,0.7917,8927,0.2969,activities::com_vonage_TimeToCall_Activities_WhatsNewActivity(-0.233); interesting_calls::getSystemService(-0.231); api_permissions::android_permission_INTERNET(-0.229); activities::_RollNoteActivity(+0.229); intents::android_intent_category_LAUNCHER(-0.229),28
44,256,65,191,goodware,0.7461,865,0.0879,api_permissions::android_permission_WAKE_LOCK(+0.245); interesting_calls::getSystemService(-0.231); activities::_RollNoteActivity(+0.230); intents::android_intent_category_LAUNCHER(-0.230); api_permissions::android_permission_INTERNET(-0.226),26
45,1455,12,1443,goodware,0.9918,1632,0.0025,activities::_RollNoteActivity(+0.261); intents::android_intent_category_LAUNCHER(-0.260); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.252); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.251); api_permissions::android_permission_INTERNET(-0.224),25
46,357,18,339,goodware,0.9496,1173,0.0026,api_permissions::android_permission_WAKE_LOCK(+0.178); interesting_calls::getDeviceId(-0.178); api_permissions::android_permission_VIBRATE(+0.174); activities::com_usps_ratecalc_RateCalcResultTableView1(-0.164); activities::com_lenovo_leos_cloud_sync_file_activity_DocumentsOperateActivityV2(-0.162),24
47,796,20,776,goodware,0.9749,245,0.0122,activities::_RollNoteActivity(+0.293); activities::Country(-0.292); intents::android_intent_category_LAUNCHER(-0.291); activities::_MainActivity(-0.254); api_permissions::android_permission_INTERNET(-0.245),22
48,62,1,61,goodware,0.9839,223,0.0448,activities::_activity_MessageCenterActivity(+0.311); activities::_RollNoteActivity(+0.288); intents::android_intent_category_LAUNCHER(-0.286); interesting_calls::getSystemService(-0.258); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.253),22
49,67,0,67,goodware,1.0,1462,0.0027,activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.215); activities::Long Press Image > Save & Wallpaper(-0.197); api_permissions::android_permission_VIBRATE(+0.196); activities::com_vonage_TimeToCall_Activities_WhatsNewActivity(-0.192); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.191),18
50,3880,61,3819,goodware,0.9843,142,0.4718,app_permissions::name='android_permission_READ_PHONE_STATE'(+0.321); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.279); activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.279); activities::_RollNoteActivity(+0.277); intents::android_intent_category_LAUNCHER(-0.275),19
51,524,61,463,goodware,0.8836,87,0.0,activities::_RollNoteActivity(+0.139); api_permissions::android_permission_ACCESS_FINE_LOCATION(-0.121); activities::com_usps_ratecalc_RateCalcResultTableView1(-0.104); activities::au_gov_dhs_application_vault_GalleryActivity(-0.101); app_permissions::name='com_sidelineaccess_ar_rhs_72758_a_permission_C2D_MESSAGE'(-0.099),18
52,2387,135,2252,goodware,0.9434,128,0.0234,api_permissions::android_permission_WAKE_LOCK(+0.335); activities::_TaiteiPriceQueryActivity(-0.318); activities::_RollNoteActivity(+0.286); intents::android_intent_category_LAUNCHER(-0.285); interesting_calls::getSystemService(-0.268),19
53,1868,239,1629,goodware,0.8721,298,0.4732,activities::_MainActivity(-0.447); activities::_RollNoteActivity(+0.318); intents::android_intent_category_LAUNCHER(-0.317); interesting_calls::getSystemService(-0.261); api_permissions::android_permission_INTERNET(-0.261),18
54,2714,111,2603,goodware,0.9591,384,0.7057,activities::_QReqView(+0.299); activities::_PageOSC(+0.299); activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.276); activities::_RollNoteActivity(+0.251); intents::android_intent_category_LAUNCHER(-0.249),16
55,2687,27,2660,goodware,0.99,116,0.0172,api_permissions::android_permission_WAKE_LOCK(+0.297); activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.282); activities::_activity_MessageCenterActivity(+0.274); activities::_RollNoteActivity(+0.225); intents::android_intent_category_LAUNCHER(-0.224),13
56,909,96,813,goodware,0.8944,183,0.0,activities::_RollNoteActivity(+0.237); intents::android_intent_category_LAUNCHER(-0.236); activities::com_prometil_coovia_route_RouteListActivity(+0.227); activities::com_usps_ratecalc_RateCalcResultTableView1(-0.225); interesting_calls::getSystemService(-0.225),15
57,51,0,51,goodware,1.0,176,0.0114,activities::_RollNoteActivity(+0.235); intents::android_intent_category_LAUNCHER(-0.233); activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.228); interesting_calls::getSystemService(-0.223); api_permissions::android_permission_INTERNET(-0.219),14
58,508,16,492,goodware,0.9685,14,0.0,activities::_RollNoteActivity(+0.264); intents::android_intent_category_LAUNCHER(-0.260); interesting_calls::getSystemService(-0.249); api_permissions::android_permission_INTERNET(-0.247); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.230),6
59,53,13,40,goodware,0.7547,35,0.0286,activities::_RollNoteActivity(+0.235); intents::android_intent_category_LAUNCHER(-0.234); interesting_calls::getSystemService(-0.231); api_permissions::android_permission_INTERNET(-0.230); activities::_VideosItem(+0.215),9
60,5741,82,5659,goodware,0.9857,435,0.0253,activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.155); activities::_FullScreen(+0.151); activities::_WriteLedBookActivity(+0.149); activities::com_manle_phone_android_mall_activity_DrugShowActivity(+0.146); activities::_RollNoteActivity(+0.145),11
61,14633,558,14075,goodware,0.9619,35,0.0286,activities::_RollNoteActivity(+0.201); interesting_calls::getSystemService(-0.200); api_permissions::android_permission_INTERNET(-0.200); intents::android_intent_category_LAUNCHER(-0.200); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.191),8
62,1979,266,1713,goodware,0.8656,32,0.0938,activities::_activity_MessageCenterActivity(+0.248); activities::_RollNoteActivity(+0.243); intents::android_intent_category_LAUNCHER(-0.242); interesting_calls::getSystemService(-0.222); api_permissions::android_permission_INTERNET(-0.216),9
63,6,1,5,goodware,0.8333,78,0.0,activities::_RollNoteActivity(+0.196); intents::android_intent_category_LAUNCHER(-0.195); interesting_calls::getSystemService(-0.191); api_permissions::android_permission_INTERNET(-0.188); api_permissions::android_permission_VIBRATE(+0.187),6
64,575,20,555,goodware,0.9652,18,0.0,api_permissions::android_permission_WAKE_LOCK(+0.241); activities::_activity_MessageCenterActivity(+0.226); activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.224); activities::_RollNoteActivity(+0.209); intents::android_intent_category_LAUNCHER(-0.207),2
65,14,0,14,goodware,1.0,35,0.2,activities::_RollNoteActivity(+0.226); intents::android_intent_category_LAUNCHER(-0.225); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.223); interesting_calls::getSystemService(-0.213); api_permissions::android_permission_INTERNET(-0.212),5
66,264,15,249,goodware,0.9432,80,0.6125,activities::com_manle_phone_android_mall_activity_DrugShowActivity(+0.297); activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.267); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.227); activities::_RollNoteActivity(+0.221); intents::android_intent_category_LAUNCHER(-0.220),4
67,453,14,439,goodware,0.9691,10,0.0,activities::_RollNoteActivity(+0.263); intents::android_intent_category_LAUNCHER(-0.260); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.245); api_permissions::android_permission_INTERNET(-0.244); interesting_calls::getSystemService(-0.243),0
68,1090,120,970,goodware,0.8899,22,0.6364,activities::_MainActivity(-0.269); activities::_controller_ActivityDeliveryInfo(-0.259); activities::au_gov_dhs_application_vault_GalleryActivity(-0.251); activities::_RollNoteActivity(+0.247); intents::android_intent_category_LAUNCHER(-0.246),2
69,713,70,643,goodware,0.9018,11,0.4545,activities::_MainActivity(-0.351); activities::_RollNoteActivity(+0.268); intents::android_intent_category_LAUNCHER(-0.265); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.223); interesting_calls::getSystemService(-0.209),0
70,8826,511,8315,goodware,0.9421,1,0.0,activities::com_prometil_coovia_route_RouteListActivity(+0.397); activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.240); activities::_RollNoteActivity(+0.235); intents::android_intent_category_LAUNCHER(-0.232); activities::com_usps_ratecalc_RateCalcResultTableView1(-0.197),0
