cluster_id,n_total,n_malware,n_goodware,dominant_label,purity,n_train_samples,mal_ratio_train,top_features,cluster_age
35,1182,1105,77,malware,0.9349,779,0.0013,activities::_RollNoteActivity(+0.249); intents::android_intent_category_LAUNCHER(-0.247); api_permissions::android_permission_INTERNET(-0.245); interesting_calls::getSystemService(-0.243); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.225),30
36,90,36,54,goodware,0.6,1088,0.0165,api_permissions::android_permission_WAKE_LOCK(+0.156); activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.143); app_permissions::name='com_sidelineaccess_ar_rhs_72758_a_permission_C2D_MESSAGE'(-0.138); api_permissions::android_permission_VIBRATE(+0.138); activities::Long Press Image > Save & Wallpaper(-0.131),30
38,242,226,16,malware,0.9339,92,0.0109,activities::_RollNoteActivity(+0.126); intents::android_intent_category_LAUNCHER(-0.126); api_permissions::android_permission_INTERNET(-0.126); interesting_calls::getSystemService(-0.125); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.122),23
39,64,1,63,goodware,0.9844,503,0.0239,activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.292); activities::_RollNoteActivity(+0.282); intents::android_intent_category_LAUNCHER(-0.281); activities::com_prometil_coovia_route_RouteListActivity(+0.268); interesting_calls::getSystemService(-0.261),28
40,14,0,14,goodware,1.0,6939,0.0141,api_permissions::android_permission_WAKE_LOCK(+0.196); api_permissions::android_permission_VIBRATE(+0.190); activities::_RollNoteActivity(+0.181); activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.181); intents::android_intent_category_LAUNCHER(-0.181),27
41,461,97,364,goodware,0.7896,292,0.6849,api_permissions::android_permission_WAKE_LOCK(+0.139); api_permissions::android_permission_VIBRATE(+0.121); activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.121); api_permissions::android_permission_ACCESS_FINE_LOCATION(-0.114); activities::com_jiubang_goscreenlock_theme_blueflowers_NRate(+0.114),25
42,62,15,47,goodware,0.7581,1516,0.002,activities::appinventor_ai_avalozdot91_InformaT_Servicios(-0.338); activities::_RollNoteActivity(+0.285); intents::android_intent_category_LAUNCHER(-0.284); api_permissions::android_permission_INTERNET(-0.264); activities::com_prometil_coovia_route_RouteListActivity(+0.263),28
43,19,14,5,malware,0.7368,8927,0.2969,activities::com_vonage_TimeToCall_Activities_WhatsNewActivity(-0.233); interesting_calls::getSystemService(-0.231); api_permissions::android_permission_INTERNET(-0.229); activities::_RollNoteActivity(+0.229); intents::android_intent_category_LAUNCHER(-0.229),28
44,181,134,47,malware,0.7403,865,0.0879,api_permissions::android_permission_WAKE_LOCK(+0.245); interesting_calls::getSystemService(-0.231); activities::_RollNoteActivity(+0.230); intents::android_intent_category_LAUNCHER(-0.230); api_permissions::android_permission_INTERNET(-0.226),26
45,331,36,295,goodware,0.8912,1632,0.0025,activities::_RollNoteActivity(+0.261); intents::android_intent_category_LAUNCHER(-0.260); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.252); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.251); api_permissions::android_permission_INTERNET(-0.224),25
47,794,619,175,malware,0.7796,245,0.0122,activities::_RollNoteActivity(+0.293); activities::Country(-0.292); intents::android_intent_category_LAUNCHER(-0.291); activities::_MainActivity(-0.254); api_permissions::android_permission_INTERNET(-0.245),22
48,7,0,7,goodware,1.0,223,0.0448,activities::_activity_MessageCenterActivity(+0.311); activities::_RollNoteActivity(+0.288); intents::android_intent_category_LAUNCHER(-0.286); interesting_calls::getSystemService(-0.258); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.253),22
49,10,0,10,goodware,1.0,1462,0.0027,activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.215); activities::Long Press Image > Save & Wallpaper(-0.197); api_permissions::android_permission_VIBRATE(+0.196); activities::com_vonage_TimeToCall_Activities_WhatsNewActivity(-0.192); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.191),18
50,1319,770,549,malware,0.5838,142,0.4718,app_permissions::name='android_permission_READ_PHONE_STATE'(+0.321); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.279); activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.279); activities::_RollNoteActivity(+0.277); intents::android_intent_category_LAUNCHER(-0.275),19
51,37,11,26,goodware,0.7027,87,0.0,activities::_RollNoteActivity(+0.139); api_permissions::android_permission_ACCESS_FINE_LOCATION(-0.121); activities::com_usps_ratecalc_RateCalcResultTableView1(-0.104); activities::au_gov_dhs_application_vault_GalleryActivity(-0.101); app_permissions::name='com_sidelineaccess_ar_rhs_72758_a_permission_C2D_MESSAGE'(-0.099),18
52,315,81,234,goodware,0.7429,128,0.0234,api_permissions::android_permission_WAKE_LOCK(+0.335); activities::_TaiteiPriceQueryActivity(-0.318); activities::_RollNoteActivity(+0.286); intents::android_intent_category_LAUNCHER(-0.285); interesting_calls::getSystemService(-0.268),19
53,261,46,215,goodware,0.8238,298,0.4732,activities::_MainActivity(-0.447); activities::_RollNoteActivity(+0.318); intents::android_intent_category_LAUNCHER(-0.317); interesting_calls::getSystemService(-0.261); api_permissions::android_permission_INTERNET(-0.261),18
54,536,40,496,goodware,0.9254,384,0.7057,activities::_QReqView(+0.299); activities::_PageOSC(+0.299); activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.276); activities::_RollNoteActivity(+0.251); intents::android_intent_category_LAUNCHER(-0.249),16
55,211,12,199,goodware,0.9431,116,0.0172,api_permissions::android_permission_WAKE_LOCK(+0.297); activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.282); activities::_activity_MessageCenterActivity(+0.274); activities::_RollNoteActivity(+0.225); intents::android_intent_category_LAUNCHER(-0.224),13
56,3,0,3,goodware,1.0,183,0.0,activities::_RollNoteActivity(+0.237); intents::android_intent_category_LAUNCHER(-0.236); activities::com_prometil_coovia_route_RouteListActivity(+0.227); activities::com_usps_ratecalc_RateCalcResultTableView1(-0.225); interesting_calls::getSystemService(-0.225),15
57,6,5,1,malware,0.8333,176,0.0114,activities::_RollNoteActivity(+0.235); intents::android_intent_category_LAUNCHER(-0.233); activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.228); interesting_calls::getSystemService(-0.223); api_permissions::android_permission_INTERNET(-0.219),14
58,55,9,46,goodware,0.8364,14,0.0,activities::_RollNoteActivity(+0.264); intents::android_intent_category_LAUNCHER(-0.260); interesting_calls::getSystemService(-0.249); api_permissions::android_permission_INTERNET(-0.247); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.230),6
60,279,13,266,goodware,0.9534,435,0.0253,activities::com_sunyard_chinaums_user_ActivityGetSecretKeyEx(-0.155); activities::_FullScreen(+0.151); activities::_WriteLedBookActivity(+0.149); activities::com_manle_phone_android_mall_activity_DrugShowActivity(+0.146); activities::_RollNoteActivity(+0.145),11
61,128,23,105,goodware,0.8203,35,0.0286,activities::_RollNoteActivity(+0.201); interesting_calls::getSystemService(-0.200); api_permissions::android_permission_INTERNET(-0.200); intents::android_intent_category_LAUNCHER(-0.200); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.191),8
62,32,9,23,goodware,0.7188,32,0.0938,activities::_activity_MessageCenterActivity(+0.248); activities::_RollNoteActivity(+0.243); intents::android_intent_category_LAUNCHER(-0.242); interesting_calls::getSystemService(-0.222); api_permissions::android_permission_INTERNET(-0.216),9
63,24,0,24,goodware,1.0,78,0.0,activities::_RollNoteActivity(+0.196); intents::android_intent_category_LAUNCHER(-0.195); interesting_calls::getSystemService(-0.191); api_permissions::android_permission_INTERNET(-0.188); api_permissions::android_permission_VIBRATE(+0.187),6
64,60,6,54,goodware,0.9,18,0.0,api_permissions::android_permission_WAKE_LOCK(+0.241); activities::_activity_MessageCenterActivity(+0.226); activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.224); activities::_RollNoteActivity(+0.209); intents::android_intent_category_LAUNCHER(-0.207),2
65,11,9,2,malware,0.8182,35,0.2,activities::_RollNoteActivity(+0.226); intents::android_intent_category_LAUNCHER(-0.225); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.223); interesting_calls::getSystemService(-0.213); api_permissions::android_permission_INTERNET(-0.212),5
66,99,15,84,goodware,0.8485,80,0.6125,activities::com_manle_phone_android_mall_activity_DrugShowActivity(+0.297); activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.267); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.227); activities::_RollNoteActivity(+0.221); intents::android_intent_category_LAUNCHER(-0.220),4
67,83,25,58,goodware,0.6988,10,0.0,activities::_RollNoteActivity(+0.263); intents::android_intent_category_LAUNCHER(-0.260); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.245); api_permissions::android_permission_INTERNET(-0.244); interesting_calls::getSystemService(-0.243),0
68,26,10,16,goodware,0.6154,22,0.6364,activities::_MainActivity(-0.269); activities::_controller_ActivityDeliveryInfo(-0.259); activities::au_gov_dhs_application_vault_GalleryActivity(-0.251); activities::_RollNoteActivity(+0.247); intents::android_intent_category_LAUNCHER(-0.246),2
69,303,69,234,goodware,0.7723,11,0.4545,activities::_MainActivity(-0.351); activities::_RollNoteActivity(+0.268); intents::android_intent_category_LAUNCHER(-0.265); activities::com_sherpa_android_core_infrastructure_qrcode_QRCodeActivity(+0.223); interesting_calls::getSystemService(-0.209),0
70,3923,1933,1990,goodware,0.5073,1,0.0,activities::com_prometil_coovia_route_RouteListActivity(+0.397); activities::com_bangbang_weixiao_ui_history_UIHistoryUsed(-0.240); activities::_RollNoteActivity(+0.235); intents::android_intent_category_LAUNCHER(-0.232); activities::com_usps_ratecalc_RateCalcResultTableView1(-0.197),0
