month,cluster_id,n_samples,n_benign,n_malicious,mal_ratio,age,birth_month,is_new,top_features
2018,3,454,266,188,0.4141,2,0,False,Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.112); Ljava/net/Socket;.getInputStream:()Ljava/io/InputStream;(-0.111); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.111); Ljava/net/Socket;.getOutputStream:()Ljava/io/OutputStream;(+0.111); Ljava/io/File;.exists:()Z(-0.110); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.110); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.110); Ljava/lang/System;.loadLibrary:(Ljava/lang/String;)V(-0.109); Ljava/io/File;.delete:()Z(+0.109); Ljava/lang/String;.indexOf:(I)I(-0.109)
2018,4,3463,131,3332,0.9622,2,0,False,Ljava/io/FileOutputStream;.write:([BII)V(+0.400); Ljava/io/File;.exists:()Z(-0.363); Ljava/io/File;.mkdir:()Z(+0.341); Ljava/lang/Runtime;.exec:(Ljava/lang/String;)Ljava/lang/Process;(+0.325); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.247); Ljava/io/File;.delete:()Z(+0.239); Ljava/lang/System;.loadLibrary:(Ljava/lang/String;)V(-0.237); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.183); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.177); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.159)
2018,5,861,11,850,0.9872,0,0,False,Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.117); Ljava/net/URL;.openConnection:()Ljava/net/URLConnection;(-0.116); Landroid/webkit/WebView;.loadUrl:(Ljava/lang/String;)V(-0.116); Landroid/webkit/WebViewDatabase;.clearHttpAuthUsernamePassword:()V(+0.116); Ljava/io/FileOutputStream;.write:([BII)V(+0.116); Ljava/net/HttpURLConnection;.setConnectTimeout:(I)V(-0.115); Landroid/webkit/WebView;.<init>:(Landroid/content/Context;)V(-0.115); Ljava/io/File;.exists:()Z(-0.115); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.115); Landroid/content/Intent;.setFlags:(I)Landroid/content/Intent;(+0.114)
2018,6,2783,2093,690,0.2479,2,0,False,Ljava/lang/StringBuilder;.append:(Z)Ljava/lang/StringBuilder;(-0.123); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.123); Ljava/lang/StringBuilder;.append:(C)Ljava/lang/StringBuilder;(-0.123); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.123); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.123); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.122); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.122); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.122); Ljava/lang/String;.indexOf:(II)I(+0.121); Ljava/net/HttpURLConnection;.setRequestMethod:(Ljava/lang/String;)V(+0.121)
2018,7,1665,161,1504,0.9033,2,0,False,Ljava/lang/String;.getBytes:()[B(+0.123); Landroid/telephony/TelephonyManager;.getDeviceId:()Ljava/lang/String;(+0.121); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.121); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.121); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.120); Landroid/content/Context;.startActivity:(Landroid/content/Intent;)V(-0.120); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.120); Landroid/net/ConnectivityManager;.getActiveNetworkInfo:()Landroid/net/NetworkInfo;(+0.120); Ljava/io/File;.exists:()Z(-0.120); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.120)
2018,8,1267,725,542,0.4278,2,0,False,Landroid/webkit/WebView;.loadUrl:(Ljava/lang/String;)V(-0.172); Landroid/webkit/WebView;.setWebViewClient:(Landroid/webkit/WebViewClient;)V(+0.158); Landroid/webkit/WebViewClient;.<init>:()V(-0.158); Landroid/webkit/WebView;.getSettings:()Landroid/webkit/WebSettings;(+0.150); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.150); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.148); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.145); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.142); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.140); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.138)
2018,9,4699,3744,955,0.2032,2,0,False,Ljava/net/HttpURLConnection;.addRequestProperty:(Ljava/lang/String;Ljava/lang/String;)V(-0.100); Ljava/io/File;.mkdirs:()Z(+0.100); Ldalvik/system/DexClassLoader;.loadClass:(Ljava/lang/String;)Ljava/lang/Class;(-0.098); Ljava/lang/String;.valueOf:(F)Ljava/lang/String;(+0.097); Landroid/webkit/WebView;.setVisibility:(I)V(-0.097); Ljava/io/FileOutputStream;.write:([BII)V(+0.097); Ljava/io/File;.exists:()Z(-0.096); Landroid/app/Activity;.startActivity:(Landroid/content/Intent;)V(+0.096); Landroid/media/MediaPlayer;.start:()V(-0.096); Landroid/webkit/WebView;.getContext:()Landroid/content/Context;(-0.096)
2018,10,2032,631,1401,0.6895,2,0,False,Ljava/io/File;.mkdirs:()Z(+0.090); Ljava/lang/StringBuilder;.append:(C)Ljava/lang/StringBuilder;(-0.090); Ljava/lang/String;.valueOf:(Ljava/lang/Object;)Ljava/lang/String;(-0.090); Landroid/content/Intent;.addFlags:(I)Landroid/content/Intent;(+0.090); Landroid/content/Context;.startActivity:(Landroid/content/Intent;)V(-0.090); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.090); Ljava/lang/StringBuilder;.append:(J)Ljava/lang/StringBuilder;(+0.089); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.089); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.089); Ljava/lang/String;.valueOf:(I)Ljava/lang/String;(+0.089)
2018,11,765,318,447,0.5843,2,0,False,Landroid/os/Process;.killProcess:(I)V(+0.162); Ljava/lang/StringBuilder;.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;(+0.156); Ljava/lang/StringBuilder;.append:(I)Ljava/lang/StringBuilder;(-0.155); Ljava/net/URLConnection;.getInputStream:()Ljava/io/InputStream;(-0.153); Ljava/lang/String;.substring:(I)Ljava/lang/String;(-0.152); Landroid/os/Process;.myPid:()I(-0.151); Ljava/lang/StringBuilder;.append:(Ljava/lang/Object;)Ljava/lang/StringBuilder;(+0.151); Ljava/lang/String;.substring:(II)Ljava/lang/String;(-0.149); Ljava/io/File;.exists:()Z(-0.148); Landroid/media/MediaPlayer;.start:()V(-0.147)
2018,12,1348,169,1179,0.8746,2,0,False,Ljava/net/HttpURLConnection;.getErrorStream:()Ljava/io/InputStream;(-0.085); Ljava/net/URLConnection;.getInputStream:()Ljava/io/InputStream;(-0.084); Ljava/lang/StringBuffer;.append:(J)Ljava/lang/StringBuffer;(+0.082); Landroid/webkit/WebView;.stopLoading:()V(+0.081); Ljava/net/HttpURLConnection;.setInstanceFollowRedirects:(Z)V(-0.079); Ljava/lang/StringBuffer;.append:(I)Ljava/lang/StringBuffer;(+0.077); Ljava/net/HttpURLConnection;.getHeaderField:(Ljava/lang/String;)Ljava/lang/String;(-0.076); Landroid/os/Handler;.obtainMessage:(ILjava/lang/Object;)Landroid/os/Message;(+0.076); Landroid/webkit/WebViewClient;.onPageFinished:(Landroid/webkit/WebView;Ljava/lang/String;)V(-0.076); Landroid/webkit/WebView;.destroy:()V(+0.076)
