cluster_id,month,top_feature_jaccard_vs_prev,n_features
27,2016-05,1.0,15
27,2016-06,0.041666666666666664,10
27,2016-07,0.8181818181818182,10
27,2016-08,0.8181818181818182,10
27,2016-09,1.0,10
27,2016-10,1.0,10
27,2016-11,1.0,10
27,2016-12,1.0,10
27,2017-01,1.0,10
27,2017-02,0.25,10
27,2017-03,0.8181818181818182,10
27,2017-04,1.0,10
27,2017-05,1.0,10
27,2017-06,1.0,10
27,2017-07,1.0,10
27,2017-08,0.8181818181818182,10
27,2017-09,1.0,10
27,2017-10,1.0,10
27,2017-11,1.0,10
27,2017-12,1.0,10
27,2018-01,1.0,10
27,2018-02,1.0,10
27,2018-03,1.0,10
27,2018-04,1.0,10
27,2018-05,1.0,10
27,2018-06,1.0,10
27,2018-07,1.0,10
27,2018-08,1.0,10
27,2018-09,1.0,10
27,2018-10,1.0,10
27,2018-11,0.5,11
27,2018-12,1.0,11
28,2016-03,1.0,10
28,2016-04,0.8181818181818182,10
28,2016-05,0.8181818181818182,10
28,2016-06,0.10526315789473684,11
28,2016-07,1.0,11
28,2016-08,0.8333333333333334,11
28,2016-09,1.0,11
28,2016-10,1.0,11
28,2016-11,1.0,11
28,2016-12,1.0,11
28,2017-01,1.0,11
28,2017-02,0.4666666666666667,11
28,2017-03,0.75,10
28,2017-04,0.75,11
28,2017-05,0.6923076923076923,11
28,2017-06,1.0,11
28,2017-07,1.0,11
28,2017-08,1.0,11
28,2017-09,1.0,11
28,2017-10,1.0,11
28,2017-11,1.0,11
28,2017-12,1.0,11
28,2018-01,1.0,11
28,2018-02,1.0,11
28,2018-03,1.0,11
28,2018-04,1.0,11
28,2018-05,1.0,11
28,2018-06,1.0,11
28,2018-07,1.0,11
28,2018-08,1.0,11
28,2018-09,1.0,11
28,2018-10,1.0,11
28,2018-11,0.5,10
28,2018-12,1.0,10
29,2016-03,1.0,11
29,2016-04,0.8333333333333334,11
29,2016-05,0.8333333333333334,11
29,2016-06,0.5,10
29,2016-07,0.8181818181818182,10
29,2016-08,1.0,10
29,2016-09,1.0,10
29,2016-10,1.0,10
29,2016-11,1.0,10
29,2016-12,1.0,10
29,2017-01,0.8181818181818182,10
29,2017-02,0.3333333333333333,10
29,2017-03,0.8181818181818182,10
29,2017-04,0.8181818181818182,10
29,2017-05,0.8181818181818182,10
29,2017-06,1.0,10
29,2017-07,1.0,10
29,2017-08,0.8181818181818182,10
29,2017-09,1.0,10
29,2017-10,1.0,10
29,2017-11,1.0,10
29,2017-12,1.0,10
29,2018-01,1.0,10
29,2018-02,1.0,10
29,2018-03,1.0,10
29,2018-04,1.0,10
29,2018-05,0.8181818181818182,10
29,2018-06,0.8181818181818182,10
29,2018-07,0.8181818181818182,10
29,2018-08,1.0,10
29,2018-09,1.0,10
29,2018-10,0.8181818181818182,10
29,2018-11,0.5384615384615384,10
29,2018-12,1.0,10
30,2016-04,1.0,10
30,2016-05,0.8181818181818182,10
30,2016-06,0.3125,11
30,2016-07,1.0,11
30,2016-08,1.0,11
30,2016-09,1.0,11
30,2016-10,1.0,11
30,2016-11,1.0,11
30,2016-12,1.0,11
30,2017-01,1.0,11
30,2017-02,0.4,10
30,2017-03,1.0,10
30,2017-04,1.0,10
30,2017-05,1.0,10
30,2017-06,1.0,10
30,2017-07,1.0,10
30,2017-08,1.0,10
30,2017-09,1.0,10
30,2017-10,1.0,10
30,2017-11,1.0,10
30,2017-12,1.0,10
30,2018-01,1.0,10
30,2018-02,1.0,10
30,2018-03,1.0,10
30,2018-04,1.0,10
30,2018-05,1.0,10
30,2018-06,1.0,10
30,2018-07,1.0,10
30,2018-08,1.0,10
30,2018-09,1.0,10
30,2018-10,1.0,10
30,2018-11,0.4,11
30,2018-12,1.0,11
31,2016-04,0.8333333333333334,11
31,2016-05,1.0,11
31,2016-06,0.15789473684210525,11
31,2016-07,0.75,10
31,2016-08,0.8181818181818182,10
31,2016-09,1.0,10
31,2016-10,1.0,10
31,2016-11,1.0,10
31,2016-12,1.0,10
31,2017-01,1.0,10
31,2017-02,0.10526315789473684,11
31,2017-03,1.0,11
31,2017-04,1.0,11
31,2017-05,1.0,11
31,2017-06,1.0,11
31,2017-07,1.0,11
31,2017-08,1.0,11
31,2017-09,1.0,11
31,2017-10,1.0,11
31,2017-11,1.0,11
31,2017-12,1.0,11
31,2018-01,1.0,11
31,2018-02,1.0,11
31,2018-03,1.0,11
31,2018-04,1.0,11
31,2018-05,1.0,11
31,2018-06,1.0,11
31,2018-07,1.0,11
31,2018-08,1.0,11
31,2018-09,1.0,11
31,2018-10,1.0,11
31,2018-11,0.23529411764705882,10
31,2018-12,1.0,10
32,2016-04,0.5,11
32,2016-05,0.8333333333333334,11
32,2016-06,0.16666666666666666,10
32,2016-07,0.8181818181818182,10
32,2016-08,1.0,10
32,2016-09,1.0,10
32,2016-10,1.0,10
32,2016-11,1.0,10
32,2016-12,1.0,10
32,2017-01,1.0,10
32,2017-02,0.3333333333333333,10
32,2017-03,1.0,10
32,2017-04,1.0,10
32,2017-05,1.0,10
32,2017-06,1.0,10
32,2017-07,1.0,10
32,2017-08,1.0,10
32,2017-09,1.0,10
32,2017-10,1.0,10
32,2017-11,1.0,10
32,2017-12,1.0,10
32,2018-01,1.0,10
32,2018-02,1.0,10
32,2018-03,1.0,10
32,2018-04,1.0,10
32,2018-05,1.0,10
32,2018-06,1.0,10
32,2018-07,1.0,10
32,2018-08,1.0,10
32,2018-09,1.0,10
32,2018-10,1.0,10
32,2018-11,0.3333333333333333,10
32,2018-12,1.0,10
33,2016-04,1.0,10
33,2016-05,1.0,10
33,2016-06,0.5,11
33,2016-07,1.0,11
33,2016-08,1.0,11
33,2016-09,1.0,11
33,2016-10,1.0,11
33,2016-11,1.0,11
33,2016-12,1.0,11
33,2017-01,1.0,11
33,2017-02,0.4,10
33,2017-03,1.0,10
33,2017-04,1.0,10
33,2017-05,1.0,10
33,2017-06,1.0,10
33,2017-07,1.0,10
33,2017-08,1.0,10
33,2017-09,1.0,10
33,2017-10,0.8181818181818182,10
33,2017-11,0.8181818181818182,10
33,2017-12,0.8181818181818182,10
33,2018-01,1.0,10
33,2018-02,1.0,10
33,2018-03,1.0,10
33,2018-04,1.0,10
33,2018-05,1.0,10
33,2018-06,1.0,10
33,2018-07,1.0,10
33,2018-08,1.0,10
33,2018-09,1.0,10
33,2018-10,1.0,10
33,2018-11,0.3125,11
33,2018-12,1.0,11
34,2016-04,0.75,11
34,2016-05,1.0,11
34,2016-06,0.3125,10
34,2016-07,0.8181818181818182,10
34,2016-08,1.0,10
34,2016-09,1.0,10
34,2016-10,1.0,10
34,2016-11,1.0,10
34,2016-12,1.0,10
34,2017-01,1.0,10
34,2017-02,0.23529411764705882,11
34,2017-03,0.8333333333333334,11
34,2017-04,1.0,11
34,2017-05,1.0,11
34,2017-06,1.0,11
34,2017-07,0.8333333333333334,11
34,2017-08,1.0,11
34,2017-09,1.0,11
34,2017-10,1.0,11
34,2017-11,1.0,11
34,2017-12,1.0,11
34,2018-01,1.0,11
34,2018-02,1.0,11
34,2018-03,1.0,11
34,2018-04,1.0,11
34,2018-05,1.0,11
34,2018-06,1.0,11
34,2018-07,1.0,11
34,2018-08,1.0,11
34,2018-09,1.0,11
34,2018-10,1.0,11
34,2018-11,0.05,10
34,2018-12,1.0,10
35,2016-05,1.0,10
35,2016-06,0.42857142857142855,10
35,2016-07,1.0,10
35,2016-08,0.8181818181818182,10
35,2016-09,1.0,10
35,2016-10,1.0,10
35,2016-11,1.0,10
35,2016-12,1.0,10
35,2017-01,0.6666666666666666,10
