month,method,total,updated,n_clusters,n_new_clusters,n_pruned,drift_score,ks_stat,ks_score,confidence_shift_score,novelty_score,ks_pvalue,drift_detected,emergency_flag,drift_applied,use_drift_score,selection_strategy,actual_frac,loss_mode,loss_before,loss_after,loss_delta,mal_rate_selected,time_sec,f1,tpr,fpr,fpr_at_tpr90,auc_roc,auc_pr
2016-09,Cluster+Standard,1526,688,49.0,1,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.4509,standard,0.822167,0.926882,0.104715,0.09738372093023256,2.3855,0.89940633373273,0.7702702702702703,0.012336719883889695,0.07256894049346879,0.9458552347703292,0.8480072126534711
2016-10,Cluster+Standard,839,377,50.0,1,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.4493,standard,0.892162,0.569336,-0.322826,0.09814323607427056,1.6625,0.8879797055008773,0.6666666666666666,0.0013192612137203166,0.10554089709762533,0.9451040750513046,0.8575067053407333
2016-11,Cluster+Standard,213,63,51.0,1,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2958,standard,1.37069,0.990325,-0.380365,0.14285714285714285,0.7261,0.8266413456321215,0.5652173913043478,0.010526315789473684,0.5263157894736842,0.8480549199084668,0.7016655688646829
2016-12,Cluster+Standard,75,21,51.0,0,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.28,standard,1.768089,1.765355,-0.002734,0.09523809523809523,0.3626,0.6785714285714286,0.25,0.0,0.7910447761194029,0.7714552238805971,0.5207649164775665
2017-01,Cluster+Standard,5600,1682,51.0,1,1,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.3004,standard,1.590185,0.63705,-0.953135,0.10820451843043995,5.8186,0.8272656224277428,0.8666666666666667,0.073,0.2022,0.9167878333333332,0.6636326209331612
2017-02,Cluster+Standard,5600,1674,51.0,2,2,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2989,standard,0.507354,0.475321,-0.032033,0.1009557945041816,6.4696,0.9380714526635292,0.915,0.017,0.0148,0.9763364999999999,0.9168782277174876
2017-03,Cluster+Standard,5600,1674,53.0,2,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2989,standard,0.861184,0.557167,-0.304017,0.09976105137395459,5.6702,0.8845313208792116,0.7,0.0084,0.1514,0.9310436666666667,0.8468588868790417
2017-04,Cluster+Standard,5600,2519,54.0,1,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.4498,standard,0.468762,0.513839,0.045077,0.10520047637951568,5.5292,0.9347309204494243,0.8266666666666667,0.0056,0.0252,0.9673056666666666,0.9055746252064647
2017-05,Cluster+Standard,5600,1671,56.0,2,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2984,standard,0.831282,0.613374,-0.217908,0.10532615200478755,5.1785,0.8951779002799556,0.87,0.032,0.0802,0.9682211666666667,0.8770061979481993
2017-06,Cluster+Standard,5600,1686,56.0,1,1,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.3011,standard,0.587055,0.380997,-0.206058,0.10320284697508897,5.2336,0.9356065790225636,0.8483333333333334,0.0084,0.0742,0.9679525,0.901126416597269
2017-07,Cluster+Standard,5600,1674,57.0,1,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2989,standard,0.346161,0.261991,-0.084171,0.1081242532855436,5.9975,0.9537692984800625,0.885,0.0054,0.0072,0.9799405,0.9475760835684996
2017-08,Cluster+Standard,5600,1681,57.0,1,1,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.3002,standard,0.36799,0.346341,-0.021649,0.11183819155264724,5.5504,0.9567659909983902,0.9383333333333334,0.0114,0.0094,0.98055,0.9186563132411558
2017-09,Cluster+Standard,5600,1678,58.0,1,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2996,standard,0.444503,0.38455,-0.059952,0.11382598331346841,5.8974,0.9366263619931009,0.8583333333333333,0.0094,0.011,0.9795285,0.9094189646418545
2017-10,Cluster+Standard,5600,1673,59.0,1,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2988,standard,0.373239,0.322485,-0.050754,0.10579796772265392,5.8864,0.9502601036405383,0.935,0.014,0.0058,0.9809188333333334,0.946340971178259
2017-11,Cluster+Standard,5600,1674,60.0,1,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2989,standard,0.366983,0.293505,-0.073478,0.11051373954599761,5.805,0.9519485005603148,0.935,0.0132,0.0116,0.9794841666666667,0.9258215241223713
2017-12,Cluster+Standard,5600,1672,61.0,1,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2986,standard,0.441463,0.29943,-0.142033,0.10287081339712918,5.6174,0.9473488253146848,0.88,0.0076,0.0094,0.9733243333333333,0.9138121893018031
2018-01,Cluster+Standard,5600,1677,62.0,1,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2995,standard,0.819293,0.427354,-0.39194,0.11329755515802027,5.6804,0.9139937514495818,0.915,0.0292,0.028,0.9643426666666666,0.8527797815626651
2018-02,Cluster+Standard,5600,1676,63.0,1,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2993,standard,0.549747,0.890185,0.340438,0.10143198090692124,5.5602,0.9355242920864704,0.9283333333333333,0.0202,0.0158,0.9765508333333333,0.8781057613385764
2018-03,Cluster+Standard,5600,1676,64.0,1,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2993,standard,4.67003,0.795487,-3.874542,0.10918854415274463,6.1228,0.6973733862744625,0.9133333333333333,0.1996,0.1922,0.8665744999999999,0.5716710778083474
2018-04,Cluster+Standard,5600,1678,65.0,1,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2996,standard,0.710615,0.442982,-0.267633,0.12038140643623362,6.0445,0.8941410313209316,0.82,0.0242,0.064,0.9690628333333334,0.8528261778485277
2018-05,Cluster+Standard,5600,1676,66.0,1,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2993,standard,0.409728,0.537075,0.127347,0.10560859188544153,5.6364,0.9500935577643528,0.9016666666666666,0.0094,0.009,0.9715941666666668,0.9085093416345196
2018-06,Cluster+Standard,5600,1678,67.0,1,0,0.0,,0.0,0.0,0.0,,False,False,False,False,cluster,0.2996,standard,0.791178,0.499903,-0.291275,0.10727056019070322,6.0479,0.8795778542678774,0.7283333333333334,0.0158,0.0322,0.9679411666666667,0.8343511931340443
