month,cluster_id,n_members_current_month,cluster_birth_month_index,cluster_age,is_new,drift_detected,drift_applied,n_new_clusters_month,cos_sim_backproj_vs_member_mean,topk_bucket_overlap_vs_member_mean,malicious_rate_current_month,cluster_error_rate_current_month,top_features,analysis_only_full_labels,case_event
2016-03,30,99,2,0,True,True,True,5,0.8903026580810547,0.6666666666666666,0.0707070707070707,0.2222222222222222,intents::android_intent_action_MAIN(+0.250); intents::android_intent_category_LAUNCHER(+0.248); interesting_calls::getSystemService(+0.233); api_permissions::android_permission_INTERNET(+0.228); app_permissions::name='android_permission_INTERNET'(+0.223); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.203); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.194); interesting_calls::printStackTrace(+0.187); api_permissions::android_permission_WAKE_LOCK(+0.186); interesting_calls::getPackageInfo(+0.186),True,new_cluster
2016-03,33,45,2,0,True,True,True,5,0.9510089755058289,0.8181818181818182,0.06666666666666667,0.15555555555555556,intents::android_intent_action_MAIN(+0.164); intents::android_intent_category_LAUNCHER(+0.164); interesting_calls::getSystemService(+0.162); api_permissions::android_permission_INTERNET(+0.161); app_permissions::name='android_permission_INTERNET'(+0.161); interesting_calls::Read/Write External Storage(+0.160); urls::http://www_w3_org/XML/1998/namespace(+0.158); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.157); interesting_calls::Obfuscation(Base64)(+0.152); interesting_calls::printStackTrace(+0.151),True,new_cluster
2016-03,32,32,2,0,True,True,True,5,0.9407735466957092,0.05263157894736842,0.15625,0.0625,api_permissions::android_permission_VIBRATE(+0.141); interesting_calls::Obfuscation(Base64)(+0.097); interesting_calls::getPackageInfo(+0.093); api_permissions::android_permission_WAKE_LOCK(+0.092); interesting_calls::printStackTrace(+0.092); urls::https://api_twitter_com/oauth/request_token(+0.090); urls::https://api_twitter_com/oauth/access_token(+0.090); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.090); app_permissions::name='android_permission_INTERNET'(+0.089); intents::android_intent_action_MAIN(+0.089),True,new_cluster
2016-03,31,90,2,0,True,True,True,5,0.9308135509490967,0.8181818181818182,0.0,0.011111111111111112,api_permissions::android_permission_WAKE_LOCK(+0.228); api_permissions::android_permission_CAMERA(+0.225); api_calls::android/hardware/Camera;->open(+0.224); intents::android_intent_action_MAIN(+0.224); intents::android_intent_category_LAUNCHER(+0.222); interesting_calls::getSystemService(+0.214); api_permissions::android_permission_INTERNET(+0.211); interesting_calls::Read/Write External Storage(+0.204); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.194); api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.190),True,new_cluster
2016-03,34,60,2,0,True,True,True,5,0.8205604553222656,0.6666666666666666,0.0,0.0,api_permissions::android_permission_READ_CONTACTS(+0.172); interesting_calls::Read/Write External Storage(+0.166); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.164); interesting_calls::Obfuscation(Base64)(+0.153); api_permissions::android_permission_INTERNET(+0.147); interesting_calls::getSystemService(+0.146); intents::android_intent_category_LAUNCHER(+0.145); intents::android_intent_action_MAIN(+0.145); interesting_calls::printStackTrace(+0.141); app_permissions::name='android_permission_INTERNET'(+0.137),True,new_cluster
2016-03,27,13,1,1,False,True,True,5,0.9303128123283386,0.0,0.0,1.0,api_calls::android/content/ContentResolver;->query(+0.149); api_permissions::android_permission_RECORD_AUDIO(+0.144); api_calls::android/location/LocationManager;->getBestProvider(+0.142); api_calls::android/telephony/TelephonyManager;->getDeviceId(+0.140); api_calls::android/app/NotificationManager;->notify(+0.140); api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.139); interesting_calls::printStackTrace(+0.139); api_calls::android/content/Context;->startActivity(+0.138); api_calls::org/apache/http/impl/client/DefaultHttpClient(+0.137); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.137),True,new_cluster
2016-03,28,128,1,1,False,True,True,5,0.8660261034965515,0.25,0.203125,0.5,intents::android_intent_category_DEFAULT(+0.134); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.129); interesting_calls::getPackageInfo(+0.127); api_permissions::android_permission_ACCESS_WIFI_STATE(+0.127); interesting_calls::Obfuscation(Base64)(+0.126); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.126); interesting_calls::Read/Write External Storage(+0.125); interesting_calls::getDeviceId(+0.124); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.124); interesting_calls::HttpPost(+0.123),True,new_cluster
2016-03,15,297,0,3,False,True,True,5,0.9617189764976501,1.0,0.6262626262626263,0.23905723905723905,app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.190); app_permissions::name='android_permission_READ_PHONE_STATE'(+0.188); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.184); intents::android_intent_action_MAIN(+0.183); intents::android_intent_category_LAUNCHER(+0.183); app_permissions::name='android_permission_INTERNET'(+0.183); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.182); interesting_calls::printStackTrace(+0.177); interesting_calls::getSystemService(+0.175); api_permissions::android_permission_INTERNET(+0.173),True,new_cluster
2016-03,6,279,0,3,False,True,True,5,0.9729037284851074,0.8181818181818182,0.25089605734767023,0.17562724014336917,intents::android_intent_action_MAIN(+0.234); intents::android_intent_category_LAUNCHER(+0.234); interesting_calls::getSystemService(+0.232); api_permissions::android_permission_INTERNET(+0.231); app_permissions::name='android_permission_INTERNET'(+0.217); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.216); interesting_calls::Read/Write External Storage(+0.209); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.195); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.185); api_permissions::android_permission_WAKE_LOCK(+0.184),True,new_cluster
2016-03,16,19,0,3,False,True,True,5,0.875636875629425,0.1111111111111111,0.2631578947368421,0.15789473684210525,interesting_calls::Obfuscation(Base64)(+0.140); app_permissions::name='android_permission_INTERNET'(+0.137); interesting_calls::getPackageInfo(+0.136); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.136); api_permissions::android_permission_INTERNET(+0.136); intents::android_intent_action_MAIN(+0.135); intents::android_intent_category_LAUNCHER(+0.135); interesting_calls::getDeviceId(+0.135); interesting_calls::getSystemService(+0.135); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.135),True,new_cluster
